file_name	homograph	selected_wordid	sentence	MFA-Arpabet-2-IPA
sw04080_s149_1-s149_9.TextGrid	bow	bow_nou-knot	You know I have done some bow hunting	bo
sw02938_s82_1-s82_34.TextGrid	close	close_vrb	In Texas I m serious if it gets cold and it looks like it s going to rain I i swear they close everything down	klos
sw03269_s98_1-s98_27.TextGrid	close	close_vrb	Well if they close it in see we  have the best of both worlds then as they  talking about doing	klos
sw02503_s127_1-s127_79.TextGrid	close	close_vrb	Like if I if I put her in a room all by herself and close the door and leave her there for a few hours uh because I was going out she would uh break something or rip up the carpet or do something just to uh to to let me know that she was unhappy with what I did	kloz
sw04333_s31_2-s31_45.TextGrid	close	close_vrb	But but supposedly once you have an office in d c or you know and and staff it with people it s really tough to close it down	kloz
sw03368_s137_1-s137_12.TextGrid	close	close_vrb	And uh I just close it out I guess	kloz
sw03495_s47_1-s47_24.TextGrid	decrease	decrease_nou	Uh I guess the other thing was that are causing a lot of the crime now is the decrease in values	ˈdiˌkris
sw03206_s90_1-s90_16.TextGrid	duplicate	duplicate_adj-nou	And I do n't know why we could n't have duplicate voting on some of this	ˈduplʌkʌt
sw03746_s86_1-s86_14.TextGrid	graduate	graduate_vrb	Uh as a course for p e you know so I could graduate	ˈgrædʒuˌet
sw02868_s120_1-s120_38.TextGrid	graduate	graduate_vrb	Uh we just came back from uh uh grand rapids where we saw one of our sons graduate from uh with his master s degree in social work	ˈgrædʒuˌet
sw03408_s8_1-s8_6.TextGrid	graduate	graduate_vrb	And what did you graduate in	ˈgrædʒuˌet
sw03497_s66_2-s66_12.TextGrid	graduate	graduate_vrb	But so how long ago did you graduate	ˈgrædʒuˌet
sw02789_s49_1-s49_8.TextGrid	graduate	graduate_vrb	I m about to graduate from college	ˈgrædʒuˌet
sw03497_s163_1-s163_7.TextGrid	graduate	graduate_vrb	Did you graduate in a certain field	ˈgrædʒuˌet
sw03134_s138_1-s138_35.TextGrid	graduate	graduate_vrb	And one of the plano school district s you know goals is that they will graduate every child that uh that is here in the ninth grade	ˈgrædʒuˌet
sw04174_s70_2-s70_49.TextGrid	graduate	graduate_vrb	 actually I m I m I m more interested in in in choosing the right j job when you graduate type information	ˈgrædʒuˌet
sw02789_s267_1-s267_12.TextGrid	graduate	graduate_vrb	I plan on getting back once I graduate next weekend	ˈgrædʒuˌet
sw02549_s240_1-s240_14.TextGrid	graduate	graduate_vrb	So uh uh you know did you graduate from purdue	ˈgrædʒuˌet
sw04079_s61_1-s61_37.TextGrid	increase	increase_vrb	And I am making every effort to to put a little bit away and increase the amount that I need for a down payment or whatever	ɪˈnkris
sw03409_s96_1-s96_12.TextGrid	increase	increase_vrb	And then they just keep wanting you to increase your limit	ɪˈnkris
sw03523_s6_1-s6_11.TextGrid	increase	increase_vrb	And that s probably going to increase you know	ˈɪˌnkris
sw04707_s105_1-s105_21.TextGrid	increase	increase_vrb	People would rather uh increase the fire department and cut down the schools because it means more to them	ɪˈnkris
sw02818_s126_1-s126_20.TextGrid	increase	increase_vrb	I think your patient level must needs to increase as the child gets older	ɪˈnkris
sw02672_s29_1-s29_26.TextGrid	initiate	initiate_vrb	But they  they  supposed to initiate that some sometime in the next couple of months	ɪˈnɪʃiˌet
sw02485_s217_1-s217_18.TextGrid	invite	invite_vrb	Was it hard to decide who to invite and who not to invite	ɪˈnvaɪt
sw03811_s105_1-s105_62.TextGrid	lead	lead_nou-vrb	I think that uh my own interest in in development human development leads me to believe that that s a good sign and that uh private enterprise is the way to go and that it will lead to a fundamental change in the way we learn	lid
sw03763_s99_1-s99_43.TextGrid	lead	lead_nou-vrb	You know it s too bad that uh it has to be a forty two year old guy to to lead the uh the rangers you know	lid
sw04114_s63_1-s63_51.TextGrid	lead	lead_nou-vrb	I guess right now what they  what they  primarily worried about is third world countries because I guess united states and and Russia have kind of taken the lead in terms of eliminating c f c production	lid
sw03294_s110_1-s110_21.TextGrid	lead	lead_nou-vrb	Well and sometimes that s this is just the lead in to a sales pitch too	lid
sw04342_s77_3-s77_42.TextGrid	lead	lead_nou-vrb	But uh a and occasionally I i pick up like time magazine or something I think uh if they  got an interesting lead story	lid
sw02784_s21_1-s21_109.TextGrid	lead	lead_nou-vrb	Why I i m I m a little concerned about today is that this uh rather uh quick and and easy I do n't know I should n't say easy rather quick victory in the in in the uh  uh uh over the uh  uh might lead us into uh a false sense of security that we can do that against any other foe	lid
sw02253_s69_1-s69_34.TextGrid	lead	lead_nou-vrb	It s a story of all the politics and uh lobbying and just basically state by state events that lead to the events that brought about the civil war	lɛd
sw02571_s45_1-s45_28.TextGrid	lives	lives_nou	So I feel like you know that s is there is occasions where there are they do spare lives	laɪvz
sw04004_s44_1-s44_32.TextGrid	lives	lives_nou	Um do you think I mean do you think our  the investment in lives and money was worth it	laɪvz
sw04133_s57_1-s57_6.TextGrid	lives	lives_nou	They risk their lives every day	laɪvz
sw02184_s86_1-s86_18.TextGrid	lives	lives_nou	Because you  endangering everybody s lives if you if it s something like that	laɪvz
sw02314_s2_1-s2_38.TextGrid	lives	lives_nou	For instance jobs that require use of heavy machinery and things like that where there s where there s uh endangerment to their own life and other people s lives	laɪvz
sw02858_s156_1-s156_40.TextGrid	lives	lives_nou	Day cares have have have popped up and become a lot more um a lot bigger part of of the kids lives	laɪvz
sw02617_s129_1-s129_3.TextGrid	lives	lives_nou	We lost lives	laɪvz
sw02558_s80_1-s80_32.TextGrid	lives	lives_nou	But I do n't know if they really had significant effects in the places where they went in teaching the people how to cope with their lives better	laɪvz
sw03097_s145_1-s145_8.TextGrid	lives	lives_nou	I refused to cram their lives full	laɪvz
sw03052_s120_1-s120_29.TextGrid	lives	lives_nou	As the situation is so sad because it just takes all the dignity away from from people who have been independent all their lives	laɪvz
sw04659_s57_1-s57_16.TextGrid	lives	lives_nou	But I just think our our family lives have changed drastically	laɪvz
sw02107_s88_1-s88_14.TextGrid	lives	lives_nou	I wonder how many of his lives he missed when that happened	laɪvz
sw02546_s13_1-s13_79.TextGrid	lives	lives_nou	Uh you know it it really irks me to see so much effort put into preventing someone being put to death by the state when they so callously and usually so you know without even thinking or without any concern uh you know end somebody else s life and in a lot of cases several people s lives	laɪvz
sw03067_s118_1-s118_16.TextGrid	lives	lives_nou	We get so involved in our work lives and just social lives and so forth	laɪvz
sw02295_s54_2-s54_25.TextGrid	lives	lives_nou	Family and friends are usually well family s tied up with their own lives and things and usually working	laɪvz
sw02645_s189_1-s189_10.TextGrid	lives	lives_nou	Momentum is uh driving force in our lives	laɪvz
sw02460_s141_1-s141_12.TextGrid	lives	lives_vrb	In fact I  got family that still lives up there	lɪvz
sw02028_s93_1-s93_17.TextGrid	lives	lives_vrb	I have a brother that lives in uh uh south bend indiana	lɪvz
sw03056_s115_1-s115_9.TextGrid	lives	lives_vrb	And uh my sister in law lives in Chicago	lɪvz
sw03728_s153_1-s153_15.TextGrid	lives	lives_vrb	And it happened to be my friend who lives a few blocks away	lɪvz
sw02775_s50_1-s50_30.TextGrid	lives	lives_vrb	And uh seems like everyone that lives around us ends up you know hearing every conversation that goes on outside with everyone	lɪvz
sw03596_s159_1-s159_9.TextGrid	lives	lives_vrb	I have a brother in law that lives in Minnesota	lɪvz
sw03514_s7_2-s7_21.TextGrid	lives	lives_vrb	She is her uh her family you know lives there	laɪvz
sw04050_s109_1-s109_43.TextGrid	lives	lives_vrb	Our family ranges from oh goodness well Australia I have a brother lives in Australia to uh boise Idaho and and uh all kinds of places	lɪvz
sw03070_s11_1-s11_26.TextGrid	lives	lives_vrb	Well all see all the family lives in once place except for a few of us are scattered about	lɪvz
sw02435_s52_1-s52_25.TextGrid	lives	lives_vrb	I mean I m sure I m going to be seeing it because in a week to amarillo where my sister lives	lɪvz
sw02279_s95_1-s95_5.TextGrid	lives	lives_vrb	My sister lives in Turkey	lɪvz
sw02650_s86_1-s86_12.TextGrid	lives	lives_vrb	And then my mother who s very elderly lives with us	lɪvz
sw03573_s56_1-s56_12.TextGrid	lives	lives_vrb	And I have a daughter that lives down in north carolina	lɪvz
sw02423_s77_1-s77_9.TextGrid	lives	lives_vrb	Well my brother lives ten miles from here	lɪvz
sw03296_s174_1-s174_11.TextGrid	lives	lives_vrb	And then I have a sister that lives in Austin	lɪvz
sw03514_s9_1-s9_4.TextGrid	lives	lives_vrb	Her grandmother lives there	laɪvz
sw02434_s27_2-s27_38.TextGrid	permit	permit_nou	Takes two weeks for that system to process uh your request for uh not as a gun permit but uh but to buy ammunition	pɝˈmɪt
sw02503_s54_1-s54_17.TextGrid	present	present_adj-nou	And uh I find a little present on the floor sometimes when I come home	ˈprɛzʌnt
sw04688_s84_1-s84_57.TextGrid	present	present_adj-nou	But at the present stage you probably are even more in the market for a a budgetary thing than than most people probably  might be in terms of keeping keeping score of input and output	ˈprɛzʌnt
sw04682_s53_1-s53_14.TextGrid	present	present_adj-nou	And I happened to need a birthday present for one of her friends	ˈprɛzʌnt
sw02860_s236_1-s236_6.TextGrid	present	present_adj-nou	And you wrap the present up	ˈprɛzʌnt
sw03168_s33_1-s33_13.TextGrid	present	present_adj-nou	And we at the present time do not have random testing	ˈprɛzʌnt
sw02092_s143_1-s143_24.TextGrid	present	present_adj-nou	I told him  if you want to give me a present for christmas give me a 	ˈprɛzʌnt
sw04688_s7_1-s7_72.TextGrid	present	present_adj-nou	You know so uh the only thing we  you know that we do now is uh I keep a a little spread sheet of uh what I call the net worth calculation which is just the the present value of various kinds of investments and so worth	ˈprɛzʌnt
sw02860_s245_1-s245_10.TextGrid	present	present_adj-nou	Well it was the equivalent of a christmas present	ˈprɛzʌnt
sw02962_s32_1-s32_10.TextGrid	present	present_adj-nou	And indeed the present overcrowding conditions uh prevail	ˈprɛzʌnt
sw04372_s34_1-s34_11.TextGrid	present	present_adj-nou	Which is exactly what businesses do at the present	ˈprɛzʌnt
sw04688_s82_1-s82_16.TextGrid	present	present_adj-nou	Uh it sounds like in a certain sense at least at the present	ˈprɛzʌnt
sw03049_s95_1-s95_37.TextGrid	present	present_adj-nou	Now I was warlock too which is supposed to be the story of a uh witch hunt that is you know magically shot into the present time	ˈprɛzʌnt
sw03090_s56_2-s56_18.TextGrid	present	present_adj-nou	But then so I took the ones from fifty two on to the present	ˈprɛzʌnt
sw02589_s64_1-s64_21.TextGrid	present	present_adj-nou	And then we have to take another one that s mid eighteen hundreds on up to basically present	ˈprɛzʌnt
sw04908_s14_1-s14_31.TextGrid	present	present_adj-nou	Of course uh you being from new Mexico you  probably been n to Washington especially if you  your present location	ˈprɛzʌnt
sw04792_s73_1-s73_18.TextGrid	present	present_vrb	It s more in how you present it versus you know who s right	priˈzɛnt
sw02154_s54_1-s54_73.TextGrid	present	present_vrb	Well I had heard a couple of people you know that I had talked to about certain programs say that you know they had read other things besides what sixty minutes presented and that they did n't present it nearly the same way as the you know news articles or whatever they had they had already been familiar with	pɝˈzɛnt
sw02187_s123_1-s123_20.TextGrid	produce	produce_nou	A lot of um of a um winter produce comes from south america	ˈprodus
sw03382_s95_1-s95_23.TextGrid	progress	progress_vrb	I think that s what made us uh progress to the state we are is our curiosity	proˈgrɛs
sw03069_s107_1-s107_18.TextGrid	read	read_past	I m trying to think the last actual book I read that was n't	rɛd
sw03069_s114_1-s114_7.TextGrid	read	read_past	I read um jane eyre	rɛd
sw02466_s159_1-s159_26.TextGrid	read	read_past	And right now my list of books to be read have to do with uh the art of selling	rɛd
sw03236_s58_1-s58_35.TextGrid	read	read_past	But the trucks that were supposed to do it there s been some problems with from what I  read in you know the mail that we get	rɛd
sw03073_s160_1-s160_13.TextGrid	read	read_past	But what I  read about it they talk about that	rɛd
sw02406_s166_1-s166_22.TextGrid	read	read_past	I read about how they did uh an article on how they did all the special effects with the submarine	rɛd
sw03156_s32_1-s32_9.TextGrid	read	read_past	I read in the paper this week where maybe	rɛd
sw03595_s84_1-s84_16.TextGrid	read	read_past	And I took a novel with me uh and read it at thanksgiving time	rɛd
sw03595_s15_1-s15_12.TextGrid	read	read_past	Well tell me what kind of books have you read	rɛd
sw04148_s50_1-s50_77.TextGrid	read	read_past	I d read one book I think it was calls trial by jury of all things that uh went through and interviewed a bunch of jurors in some of the big cases and in many cases looking at what had at the evidence afterwards as to whether the decision was right went back to the jurors uh based on the deliberations	rɛd
sw02121_s108_2-s108_10.TextGrid	read	read_past	I I read that recently somewhere	rɛd
sw02466_s22_1-s22_30.TextGrid	read	read_past	And now I  like a said I  read a lot of self self help books	rɛd
sw02226_s252_1-s252_40.TextGrid	read	read_past	And after I i graduated I read some of the old classics that I just bluffed my way through and have found that I enjoy them quite a bit too uh	rɛd
sw04342_s38_2-s38_27.TextGrid	read	read_past	I uh fact last time I read the Dallas Dallas news I was in Arkansas	rɛd
sw02965_s175_1-s175_19.TextGrid	read	read_past	I read a book one time that said that the best cars were made before seventy four	rɛd
sw02427_s79_1-s79_3.TextGrid	read	read_past	I read it	rɛd
sw02466_s92_1-s92_28.TextGrid	read	read_present	I  always wanted to go back and read some of my literature texts from college um because I enjoyed some of those stories so much	rid
sw03345_s57_1-s57_7.TextGrid	read	read_present	And I read magazines and such	rid
sw02619_s40_1-s40_13.TextGrid	read	read_present	You just say well look read the miles per hour one	rid
sw03333_s83_2-s83_29.TextGrid	read	read_present	These some of these young kids you read about just does n't bother them to kill someone at all	rid
sw04033_s77_1-s77_32.TextGrid	read	read_present	But a lot of the times I you know I wish I had the time to read all the stories in the newspaper	rid
sw03458_s110_1-s110_22.TextGrid	read	read_present	Since I  been getting the journal like maybe maybe I  read two maybe three	rid
sw02226_s61_1-s61_22.TextGrid	read	read_present	Because uh I love to read his his uh children s books just	rid
sw02226_s162_1-s162_11.TextGrid	read	read_present	Did you ever read the uh uh oh	rid
sw02226_s34_2-s34_41.TextGrid	read	read_present	And it and it s kind of short because we do n't woe do n't have a lot of time to to read	rid
sw03056_s42_1-s42_15.TextGrid	read	read_present	You just kind of have to read and understand what is going on	rid
sw02866_s99_1-s99_12.TextGrid	read	read_present	I find I i read very little	rid
sw02910_s56_2-s56_27.TextGrid	read	read_present	And and I guess when it comes to um to magazines I do n't read	rid
sw02461_s67_1-s67_23.TextGrid	read	read_present	Not if you can read or write or do or  understand some science	rid
sw03159_s37_1-s37_15.TextGrid	read	read_present	I m  read it fast and put it down	rid
sw02253_s2_1-s2_23.TextGrid	read	read_present	The question was uh what kind of books do you read for entertainment uh uh I guess	rid
sw03069_s147_1-s147_28.TextGrid	read	read_present	And then when Jennie had to read it at Gettysburg and I got her the I got her someone	rid
sw02111_s209_1-s209_17.TextGrid	separate	separate_vrb	But in uh in the paper one you have to separate	ˈsɛpɝɪt
sw02672_s16_1-s16_12.TextGrid	separate	separate_vrb	And we have to separate our papers and our glass	ˈsɛpɝɪt
sw03201_s68_1-s68_16.TextGrid	separate	separate_vrb	And uh they try to get you to go ahead and separate it	ˈsɛpɝɪt
sw02111_s236_1-s236_19.TextGrid	separate	separate_vrb	And that s real discouraging thinking you  sitting there working to separate it	ˈsɛpɝˌet
sw04736_s28_1-s28_91.TextGrid	separate	separate_vrb	The law enforcement community uh uh you know has to has to separate the difference between somebody who is being set up in which uh grievous acts are done to uh to you know to get somebody into a a situation where they  going to be guilty of of a crime	ˈsɛpɝɪt
sw04908_s1_1-s1_43.TextGrid	separate	separate_vrb	Uh around here we have a program where uh we we put out the the we separate the bottles and the cans and the plastic stuff from the newspapers	ˈsɛpɝˌet
sw02264_s9_1-s9_31.TextGrid	separate	separate_vrb	And you know we separate everything out and then have to haul it up to a  you know which is a real pain	ˈsɛpɝˌet
sw04153_s56_1-s56_9.TextGrid	separate	separate_vrb	You know they really did separate them well	ˈsɛpɝˌet
sw02111_s220_1-s220_15.TextGrid	separate	separate_vrb	But I do get tired of having to separate paper you know	ˈsɛpɝɪt
sw04329_s20_1-s20_12.TextGrid	separate	separate_vrb	And you separate your glass and paper and uh aluminum	ˈsɛpɝɪt
sw04329_s95_1-s95_18.TextGrid	separate	separate_vrb	Uh there s too much labor involved I guess to separate the stuff	ˈsɛpɝɪt
sw03156_s38_1-s38_17.TextGrid	separate	separate_vrb	I really do n't understand that part on what they  told you to separate everything	ˈsɛpɝˌet
sw02571_s18_1-s18_13.TextGrid	sow	sow	But that does n't negate that you do reap what you sow	saʊ
sw02969_s187_1-s187_30.TextGrid	transplant	transplant_vrb	And I just threw them on the side intending to transplant them or throw them away or something and forgot about them through the whole winter	træˈnsplænt
sw03188_s35_1-s35_8.TextGrid	use	use_vrb	So you ca n't use oil on wood	juz
sw03746_s47_1-s47_11.TextGrid	use	use_vrb	Well I guess I could use a card too	juz
sw02896_s154_1-s154_36.TextGrid	use	use_vrb	But use use good uh stuff and buy it at a paint store where they have the right brands that will go down and come up easily	juz
sw03159_s49_1-s49_6.TextGrid	use	use_vrb	And you never really use them	juz
sw03549_s79_1-s79_18.TextGrid	use	use_vrb	And uh you know they used to use it for leather I think	juz
sw02490_s283_1-s283_9.TextGrid	use	use_vrb	Well I know how to use one	juz
sw02229_s169_1-s169_3.TextGrid	use	use_vrb	I use tapes	juz
sw02504_s202_1-s202_15.TextGrid	use	use_vrb	I said because I want him to know how to use one of these	juz
sw03074_s129_1-s129_31.TextGrid	use	use_vrb	For instance she she would take the waxed paper out of a cereal box and use that for you know when she made cookies	juz
sw02336_s52_2-s52_24.TextGrid	use	use_vrb	I want I want something that s serviceable serviceable something that I can use	juz
sw02734_s226_1-s226_14.TextGrid	use	use_vrb	Well the there s a trick I use	juz
sw03876_s145_1-s145_16.TextGrid	use	use_vrb	I use a couple of things from  that it says this is  material	juz
sw02775_s180_1-s180_11.TextGrid	use	use_vrb	So the only thing that I use is soap	juz
sw02883_s5_1-s5_9.TextGrid	use	use_vrb	The ones we use is like visa	juz
sw03409_s120_1-s120_24.TextGrid	use	use_vrb	Other than you use them or you do n't use them you like them or you do n't like them	juz
sw03130_s112_2-s112_23.TextGrid	use	use_vrb	That that s that much fertilizer you have to use because it does fertilize the lawn	juz
sw04801_s30_1-s30_8.TextGrid	uses	uses_vrb	I think Florida still uses electric chair	ˈjuzɪz
sw02406_s191_1-s191_19.TextGrid	uses	uses_vrb	And he uses all of his special effects knowledge in doing what needs to be done	ˈjuzɪz
sw02397_s50_1-s50_7.TextGrid	uses	uses_vrb	What kind of cloth uses that	ˈjuzɪz
sw02653_s11_1-s11_11.TextGrid	uses	uses_vrb	And she uses it to compose and print out letters	ˈjuzɪz
sw02121_s47_1-s47_23.TextGrid	uses	uses_vrb	One of our our biggest electrical plants in rhode island uses coal to uh generate electricity	ˈjuzʌz
sw04902_s26_1-s26_30.TextGrid	uses	uses_vrb	I mean right now uh I believe there are two policies that uh that the government uses to modulate immigration	ˈjuzɪz
sw03138_s120_1-s120_5.TextGrid	uses	uses_vrb	Is that what he uses	ˈjuzɪz
sw02427_s304_1-s304_9.TextGrid	uses	uses_vrb	He always uses it to  his lawn	ˈjuzʌz
sw02545_s44_3-s44_24.TextGrid	uses	uses_vrb	She she uh she uses it now uh my sister to	ˈjusɪz
sw03296_s193_1-s193_16.TextGrid	uses	uses_vrb	Mostly my one sister uses hers for her children you know children s games	ˈjuzɪz
sw02568_s122_1-s122_29.TextGrid	wind	wind_vrb	And a lot of times what I wind up doing is picking say an actor or an actress and seeing like all	waɪnd
sw03161_s71_1-s71_52.TextGrid	wind	wind_vrb	But we have such an affluent a society society that I wonder if if we took a little from here and there and the other if we might wind up with a a cure for just about everything	waɪnd
sw03072_s177_1-s177_6.TextGrid	wind	wind_vrb	What did you wind up with	waɪnd
sw03245_s110_2-s110_19.TextGrid	wind	wind_vrb	And and it was a little bit hard to uh wind down	waɪnd
sw02615_s148_1-s148_5.TextGrid	wind	wind_vrb	It could really wind up	waɪnd
sw04113_s57_1-s57_27.TextGrid	wind	wind_vrb	You know it s going to wind up hurting your state if all the other states are n't doing it at the same time	wɪnd
sw04928_s120_1-s120_40.TextGrid	wind	wind_vrb	Uh when you get to be my age and you start abusing your systems you get blown away and just wind up having to kiss your ass good  you know	waɪnd
sw02157_s185_1-s185_19.TextGrid	wind	wind_vrb	And you know they  they  wind up being good again	waɪnd
sw03573_s78_1-s78_34.TextGrid	wind	wind_vrb	And I always wind up getting under the hood and finding out all the things that you know need to be taken care of and so forth	waɪnd
sw02800_s17_1-s17_30.TextGrid	wind	wind_vrb	And uh I find if you  not careful you wind up uh a month or so staring those bills in the face	waɪnd
sw04725_s25_1-s25_28.TextGrid	wind	wind_vrb	So I wind up with my getting money back on my uh from my uh withholding	waɪnd
sw03254_s107_1-s107_9.TextGrid	wind	wind_vrb	And you wind up waiting about an hour	waɪnd
sw03296_s52_1-s52_32.TextGrid	wind	wind_vrb	They  come in and tell us that the switchboard is full now and it s time for you to wind up in the next thirty seconds or something like that	waɪnd
sw03541_s32_1-s32_19.TextGrid	wind	wind_vrb	Because people that uh do n't make very much money wind up spending it all	waɪnd
sw02479_s252_1-s252_18.TextGrid	wind	wind_vrb	We all need that time just some quiet time to wind down from the day	waɪnd
sw04765_s78_3-s78_25.TextGrid	wind	wind_vrb	A a as soon as we wind up uh uh you know for	waɪnd
sw02093_s67_1-s67_44.TextGrid	winds	winds_vrb	First thing that comes to mind is some kind of chain stitch because she starts and goes all the way across you know back and forth until she winds up with this big piece of of afghan	waɪndz
sw02546_s88_1-s88_19.TextGrid	winds	winds_vrb	And she winds up being a a victim day after day after day	waɪndz
sw02539_s136_2-s136_5.TextGrid	wound	wound_vrb	Wound up in administration	waʊnd
sw03073_s215_1-s215_8.TextGrid	wound	wound_vrb	We  wound up sending in one	waʊnd
sw02365_s174_1-s174_7.TextGrid	wound	wound_vrb	We wound up selling the house	wund
sw03351_s122_1-s122_21.TextGrid	wound	wound_vrb	And uh our cats wound up getting fleas uh from the apartment that we were in	waʊnd
sw03082_s77_1-s77_18.TextGrid	wound	wound_vrb	So it s uh wound up that uh we  the old folks now	waʊnd
sw03073_s225_1-s225_12.TextGrid	wound	wound_vrb	And he  he wound up pull	waʊnd
sw02365_s228_1-s228_28.TextGrid	wound	wound_vrb	But the the interesting thing is that paint we wound up having to go back and scrape some of that away	waʊnd
sw02989_s90_1-s90_21.TextGrid	wound	wound_vrb	So wound up back about two hundred miles aware away from where we started out	waʊnd
sw02669_s10_1-s10_48.TextGrid	wound	wound_vrb	I wish uh it had started a long time ago is the problem because we  so wound up in the in the system that we  got that you know trying to convert over	waʊnd
sw03108_s132_1-s132_27.TextGrid	wound	wound_vrb	But course it s one of these with a twist where it looks like he s the one that wound up killing her	waʊnd
